id      ,team                                     ,year ,classification ,division                    ,conference ,week             ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                        ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                     ,opp ,team score ,opp score ,result ,location ,season type ,week                     ,opp ,team score ,opp score ,result ,location ,season type ,week                     ,opp ,team score ,opp score ,result ,location ,season type ,week                 ,opp ,team score ,opp score ,result ,location ,season type ,week ,opp ,team score ,opp score ,result ,location ,season type ,week ,opp ,team score ,opp score ,result ,location ,season type 
   2000 ,Abilene Christian                        ,2021 ,fcs            ,Western Athletic            ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,SMU                                      ,  9 ,        56 ,        0 ,   0   ,regular  ,          2 ,Louisiana College                        , 62 ,         7 ,        1 ,   1   ,regular  ,          3 ,University of Texas of the Permian Basin , 34 ,         9 ,        1 ,   1   ,regular  ,          4 ,Lamar                                    , 56 ,         0 ,        1 ,   0   ,regular  ,          5 ,Central Arkansas            , 21 ,        42 ,        0 ,   1   ,regular  ,          6 ,Eastern Kentucky                         , 15 ,        30 ,        0 ,   0   ,regular  ,          7 ,Lamar                                    , 24 ,        17 ,        1 ,     1 ,regular  ,          8 ,0                                        ,  0 ,         0 ,        0 ,     0 ,regular  ,          9 ,Stephen F. Austin                        , 27 ,        41 ,        0 ,   0   ,regular  ,         10 ,Jacksonville State                       , 25 ,        40 ,        0 ,   0   ,regular  ,         11 ,Tarleton State                           , 29 ,         3 ,        1 ,     1 ,regular  ,         12 ,Sam Houston State        ,  9 ,        35 ,        0 ,   1   ,regular  ,         13 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
   2001 ,Adams State                              ,2021 ,ii             ,Rocky Mountain              ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,Western New Mexico                       , 17 ,        35 ,        0 ,   1   ,regular  ,          2 ,Eastern New Mexico                       , 14 ,        42 ,        0 ,   0   ,regular  ,          3 ,Western State                            , 10 ,        24 ,        0 ,   1   ,regular  ,          4 ,Black Hills State                        , 48 ,        51 ,        0 ,   0   ,regular  ,          5 ,South Dakota Mines          , 42 ,        45 ,        0 ,   1   ,regular  ,          6 ,Colorado Mesa                            , 14 ,        49 ,        0 ,   0   ,regular  ,          7 ,Chadron State                            , 35 ,        45 ,        0 ,     1 ,regular  ,          8 ,Colorado State-Pueblo                    , 28 ,        35 ,        0 ,     0 ,regular  ,          9 ,New Mexico Highlands                     , 28 ,        58 ,        0 ,   0   ,regular  ,         10 ,Fort Lewis                               , 37 ,        14 ,        1 ,   1   ,regular  ,         11 ,Colorado Mines                           ,  0 ,        63 ,        0 ,     0 ,regular  ,         12 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         13 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
   2005 ,Air Force                                ,2021 ,fbs            ,Mountain West               ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,Lafayette                                , 35 ,        14 ,        1 ,   1   ,regular  ,          2 ,Navy                                     , 23 ,         3 ,        1 ,   0   ,regular  ,          3 ,Utah State                               , 45 ,        49 ,        0 ,   1   ,regular  ,          4 ,Florida Atlantic                         , 31 ,         7 ,        1 ,   1   ,regular  ,          5 ,New Mexico                  , 38 ,        10 ,        1 ,   0   ,regular  ,          6 ,Wyoming                                  , 24 ,        14 ,        1 ,   1   ,regular  ,          7 ,Boise State                              , 24 ,        17 ,        1 ,     0 ,regular  ,          8 ,San Diego State                          , 14 ,        20 ,        0 ,     1 ,regular  ,          9 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         10 ,Army                                     , 14 ,        21 ,        0 ,   0.5 ,regular  ,         11 ,Colorado State                           , 35 ,        21 ,        1 ,     0 ,regular  ,         12 ,Nevada                   , 41 ,        39 ,        1 ,   0   ,regular  ,         13 ,UNLV                     , 48 ,        14 ,        1 ,   1   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
   2006 ,Akron                                    ,2021 ,fbs            ,Mid-American                ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,Auburn                                   , 10 ,        60 ,        0 ,   0   ,regular  ,          2 ,Temple                                   , 24 ,        45 ,        0 ,   1   ,regular  ,          3 ,Bryant                                   , 35 ,        14 ,        1 ,   1   ,regular  ,          4 ,Ohio State                               ,  7 ,        59 ,        0 ,   0   ,regular  ,          5 ,Ohio                        , 17 ,        34 ,        0 ,   1   ,regular  ,          6 ,Bowling Green                            , 35 ,        20 ,        1 ,   0   ,regular  ,          7 ,Miami (OH)                               , 21 ,        34 ,        0 ,     0 ,regular  ,          8 ,Buffalo                                  , 10 ,        45 ,        0 ,     1 ,regular  ,          9 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         10 ,Ball State                               , 25 ,        31 ,        0 ,   1   ,regular  ,         11 ,Western Michigan                         , 40 ,        45 ,        0 ,     0 ,regular  ,         12 ,Kent State               ,  0 ,        38 ,        0 ,   1   ,regular  ,         13 ,Toledo                   , 14 ,        49 ,        0 ,   0   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
    333 ,Alabama                                  ,2021 ,fbs            ,SEC                         ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,Miami                                    , 44 ,        13 ,        1 ,   0.5 ,regular  ,          2 ,Mercer                                   , 48 ,        14 ,        1 ,   1   ,regular  ,          3 ,Florida                                  , 31 ,        29 ,        1 ,   0   ,regular  ,          4 ,Southern Mississippi                     , 63 ,        14 ,        1 ,   1   ,regular  ,          5 ,Ole Miss                    , 42 ,        21 ,        1 ,   1   ,regular  ,          6 ,Texas A&M                                , 38 ,        41 ,        0 ,   0   ,regular  ,          7 ,Mississippi State                        , 49 ,         9 ,        1 ,     0 ,regular  ,          8 ,Tennessee                                , 52 ,        24 ,        1 ,     1 ,regular  ,          9 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         10 ,LSU                                      , 20 ,        14 ,        1 ,   1   ,regular  ,         11 ,New Mexico State                         , 59 ,         3 ,        1 ,     1 ,regular  ,         12 ,Arkansas                 , 42 ,        35 ,        1 ,   1   ,regular  ,         13 ,Auburn                   , 24 ,        22 ,        1 ,   0   ,regular  ,         14 ,Georgia                  , 41 ,        24 ,        1 ,   0.5 ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
   2010 ,Alabama A&M                              ,2021 ,fcs            ,SWAC                        ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,South Carolina State                     , 42 ,        41 ,        1 ,   1   ,regular  ,          2 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,          3 ,Bethune-Cookman                          , 30 ,        27 ,        1 ,   0   ,regular  ,          4 ,Tuskegee                                 , 45 ,        35 ,        1 ,   1   ,regular  ,          5 ,Grambling                   , 28 ,        37 ,        0 ,   0   ,regular  ,          6 ,Jackson State                            , 15 ,        61 ,        0 ,   1   ,regular  ,          7 ,Florida A&M                              , 31 ,        35 ,        0 ,     1 ,regular  ,          8 ,0                                        ,  0 ,         0 ,        0 ,     0 ,regular  ,          9 ,Alabama State                            , 42 ,        28 ,        1 ,   1   ,regular  ,         10 ,Mississippi Valley State                 , 42 ,        14 ,        1 ,   1   ,regular  ,         11 ,Texas Southern                           , 52 ,        49 ,        1 ,     0 ,regular  ,         12 ,Arkansas-Pine Bluff      , 52 ,        24 ,        1 ,   1   ,regular  ,         13 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
   2011 ,Alabama State                            ,2021 ,fcs            ,SWAC                        ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,Miles                                    , 14 ,        13 ,        1 ,   1   ,regular  ,          2 ,Auburn                                   ,  0 ,        62 ,        0 ,   0   ,regular  ,          3 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,          4 ,Bethune-Cookman                          , 38 ,        24 ,        1 ,   1   ,regular  ,          5 ,Florida A&M                 ,  0 ,        28 ,        0 ,   0   ,regular  ,          6 ,Arkansas-Pine Bluff                      , 35 ,        15 ,        1 ,   1   ,regular  ,          7 ,Jackson State                            ,  7 ,        28 ,        0 ,     0 ,regular  ,          8 ,0                                        ,  0 ,         0 ,        0 ,     0 ,regular  ,          9 ,Alabama A&M                              , 28 ,        42 ,        0 ,   0   ,regular  ,         10 ,Prairie View                             , 20 ,        24 ,        0 ,   0   ,regular  ,         11 ,Mississippi Valley State                 , 31 ,        44 ,        0 ,     0 ,regular  ,         12 ,Texas Southern           , 24 ,        21 ,        1 ,   1   ,regular  ,         13 ,Tuskegee                 , 43 ,         9 ,        1 ,   1   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
    399 ,Albany                                   ,2021 ,fcs            ,CAA                         ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,North Dakota State                       ,  6 ,        28 ,        0 ,   0   ,regular  ,          2 ,Rhode Island                             , 14 ,        16 ,        0 ,   1   ,regular  ,          3 ,Syracuse                                 , 24 ,        62 ,        0 ,   0   ,regular  ,          4 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,          5 ,Delaware                    , 15 ,        20 ,        0 ,   0   ,regular  ,          6 ,William & Mary                           , 24 ,        31 ,        0 ,   0   ,regular  ,          7 ,Villanova                                , 10 ,        17 ,        0 ,     1 ,regular  ,          8 ,Maine                                    , 16 ,        19 ,        0 ,     1 ,regular  ,          9 ,Towson                                   , 24 ,        38 ,        0 ,   0   ,regular  ,         10 ,New Hampshire                            , 20 ,         7 ,        1 ,   1   ,regular  ,         11 ,Morgan State                             , 41 ,        14 ,        1 ,     1 ,regular  ,         12 ,Stony Brook              , 14 ,        36 ,        0 ,   0   ,regular  ,         13 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
   2013 ,Albany State (GA)                        ,2021 ,ii             ,SIAC                        ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,Mississippi College                      , 24 ,         0 ,        1 ,   0   ,regular  ,          2 ,Shorter                                  , 28 ,        12 ,        1 ,   1   ,regular  ,          3 ,Valdosta State                           ,  3 ,        21 ,        0 ,   0   ,regular  ,          4 ,Clark Atlanta                            , 49 ,         0 ,        1 ,   1   ,regular  ,          5 ,Miles                       , 31 ,         3 ,        1 ,   0   ,regular  ,          6 ,Edward Waters                            , 30 ,         0 ,        1 ,   1   ,regular  ,          7 ,Benedict College                         , 28 ,         6 ,        1 ,     0 ,regular  ,          8 ,Savannah State                           , 30 ,         0 ,        1 ,     1 ,regular  ,          9 ,Morehouse                                , 14 ,        10 ,        1 ,   0   ,regular  ,         10 ,Fort Valley State                        , 57 ,         0 ,        1 ,   0   ,regular  ,         11 ,0                                        ,  0 ,         0 ,        0 ,     0 ,regular  ,         12 ,West Georgia             ,  7 ,        23 ,        0 ,   1   ,regular  ,         13 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
   2016 ,Alcorn State                             ,2021 ,fcs            ,SWAC                        ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,North Carolina Central                   , 14 ,        23 ,        0 ,   0.5 ,regular  ,          2 ,Northwestern State                       , 13 ,        10 ,        1 ,   1   ,regular  ,          3 ,South Alabama                            , 21 ,        28 ,        0 ,   0   ,regular  ,          4 ,Arkansas-Pine Bluff                      , 39 ,        38 ,        1 ,   0   ,regular  ,          5 ,0                           ,  0 ,         0 ,        0 ,   0   ,regular  ,          6 ,Grambling                                , 24 ,        20 ,        1 ,   1   ,regular  ,          7 ,Mississippi Valley State                 , 24 ,        12 ,        1 ,     0 ,regular  ,          8 ,Texas Southern                           , 44 ,        27 ,        1 ,     0 ,regular  ,          9 ,Southern                                 , 35 ,        38 ,        0 ,   0   ,regular  ,         10 ,Bethune-Cookman                          , 31 ,        35 ,        0 ,   0   ,regular  ,         11 ,Prairie View                             , 31 ,        29 ,        1 ,     1 ,regular  ,         12 ,Jackson State            , 10 ,        24 ,        0 ,   0   ,regular  ,         13 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
